Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Australia,AUS,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.71688,1.72921,1.67142,1.62129,1.65038,1.65504,..,..,..,..,..
Austria,AUT,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.52872,2.53676,2.25885,2.28574,2.19886,2.17594,2.17336,2.1145,..,..,..
Croatia,HRV,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.42004,1.41679,1.73244,1.70825,1.69487,1.79693,1.80293,1.86732,..,..,..
"Korea, Rep.",KOR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,1.67599,..,..,..,..
Lithuania,LTU,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.38326,2.07217,1.89154,1.77304,1.69159,1.55113,1.5466,1.44188,..,..,..
New Zealand,NZL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,2.53746,2.43005,2.34352,2.29122,2.27609,..,..,..
Belgium,BEL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,2.79354,..,..,..,..,..,..,..,..,..
Brazil,BRA,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.58316,2.62737,2.56348,2.58198,2.57073,2.51894,..,..,..,..,..
Bulgaria,BGR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.36851,1.58535,..,..,..,1.53017,..,..,..,..,..
Canada,CAN,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.48915,1.34305,1.3235,1.43166,1.55287,1.54074,..,..,..,..,..
Colombia,COL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.56033,1.71309,1.73586,1.58279,1.55313,1.68924,1.69641,..,..,..,..
Cuba,CUB,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..
Denmark,DNK,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.74823,2.75367,3.05412,..,..,2.11539,..,..,..,..,..
El Salvador,SLV,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.14028,1.16891,1.17782,1.24244,1.34907,1.29978,1.22219,..,..,..,..
Georgia,GEO,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,0.61241,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.9273,1.78589,1.62776,1.25142,1.3222,1.08326,..,..,..,..,..
Mexico,MEX,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.60077,1.65319,1.68246,1.69151,1.61741,1.50492,..,..,..,..,..
Norway,NOR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,2.13681,2.07574,2.22273,2.29482,2.21488,..,..,..,..,..
Portugal,PRT,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.20968,2.31477,2.16676,2.08162,..,2.22697,..,..,..,..,..
Philippines,PHL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..
Paraguay,PRY,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.20998,..,..,..,1.07546,..,..,..,..,..,..
Panama,PAN,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.06245,1.12504,1.27742,1.27732,1.16267,1.24409,..,..,..,..,..
Serbia,SRB,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,0.86715,..,..,2.49125,..,..,..,..
Spain,ESP,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.66843,1.60577,1.58106,1.57762,1.57763,1.56259,..,..,..,..,..
Sweden,SWE,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.17242,2.12301,2.08125,2.01796,2.08685,2.1224,..,..,..,..,..
Turkiye,TUR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,2.21959,2.30299,2.28002,2.05332,2.00571,..,..,..,..,..
Ukraine,UKR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.92572,1.87646,1.6353,..,1.39721,1.66335,..,..,..,..,..
Argentina,ARG,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.16177,2.25767,2.22378,2.38742,2.27011,2.15973,..,..,..,..,..
Costa Rica,CRI,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.21588,2.30825,2.29745,2.38546,2.27101,2.31867,2.00142,2.409,..,..,..
Croatia,HRV,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..
Czechia,CZE,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.8692,1.79462,1.7393,1.72534,1.62077,1.72334,..,..,..,..,..
Dominican Republic,DOM,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,0.72363,1.25463,1.22923,1.24705,1.27364,1.5644,1.24822,1.14845,..,..,..
Ecuador,ECU,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,0.52525,0.60933,0.60187,0.60541,0.6184,..,0.74582,..,..,..,..
Estonia,EST,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.7046,1.41566,1.40031,1.32267,1.30303,1.31771,..,..,..,..,..
Finland,FIN,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.71278,2.69145,2.66045,2.6348,2.53148,2.34534,..,..,..,..,..
France,FRA,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,2.34572,..,..,..,..,..
Germany,DEU,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.1392,2.10989,2.07292,2.02367,1.99691,1.99692,..,..,..,..,..
Greece,GRC,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,1.43015,1.39983,1.34914,..,..,..,..,..
Iceland,ISL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.12706,2.0932,2.12679,2.11336,2.04373,2.10578,..,..,..,..,..
Hungary,HUN,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.70095,1.44844,1.97476,1.7215,1.87163,1.74249,..,..,..,..,..
Honduras,HND,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,1.48579,..,..,..,..,..,..,..,..,..
Indonesia,IDN,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,0.88723,0.87454,0.88116,0.96743,..,..,..,..,..,..,..
Italy,ITA,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.743,1.76945,1.72244,1.74119,..,..,..,..,..,..,..
Japan,JPN,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.40847,1.40631,1.35742,..,1.33757,1.32911,..,..,..,..,..
Latvia,LVA,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.17895,2.28496,1.64591,1.66836,1.57436,1.46347,..,..,..,..,..
Malta,MLT,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,3.0372,2.82326,2.37617,1.95843,2.11574,1.92017,..,..,..,..,..
Morocco,MAR,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,2.75253,2.71144,..,..,..,..,..,..,..,..,..
Netherlands,NLD,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,2.18777,2.21867,2.09729,..,..,..,..,..
Peru,PER,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,0.93142,0.93927,1.13533,1.22175,1.24024,1.32792,1.27418,1.28558,..,..,..
Poland,POL,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.63379,1.61638,1.54262,1.48237,1.45244,1.36005,..,..,..,..,..
Puerto Rico,PRI,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,1.5272,1.49425,..,..,..,..,..,..,..,..
Russian Federation,RUS,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,0.65942,0.65542,..,..,0.65309,0.69034,0.65218,..,..,..,..
Slovak Republic,SVK,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.70693,1.74142,1.7663,1.74458,1.65012,1.70312,..,..,..,..,..
Slovenia,SVN,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.88689,1.82914,1.75785,1.68833,1.65729,1.64746,..,..,..,..,..
Switzerland,CHE,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,1.96915,1.95609,1.90024,1.81433,..,..,..,..,..,..,..
United States,USA,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,1.73414,1.71452,1.70902,1.70512,1.74064,..,..,..,..,..
Uruguay,URY,Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV,..,..,..,..,1.61839,1.67839,1.65676,..,..,..,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: Education Statistics: Core Indicators,,,,,,,,,,,,,,
Last Updated: 06/25/2024,,,,,,,,,,,,,,
Code,Indicator Name,Short definition,Long definition,Source,Topic,Other notes,,,,,,,,
UIS.XPUBP.0,Expenditure on pre-primary as % of government expenditure on education (%),"Expenditure on education by level of education, expressed as a percentage of total general government expenditure on education. Divide government expenditure on a given level of education (ex. primary, secondary) by total government expenditure on education (all levels combined), and multiply by 100. A high percentage of government expenditure on education spent on a given level denotes a high priority given to that level compared to others. When interpreting this indicator, one should take into account enrolment at that level, and the relative costs per student between different levels of education. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Expenditure on education by level of education, expressed as a percentage of total general government expenditure on education. Divide government expenditure on a given level of education (ex. primary, secondary) by total government expenditure on education (all levels combined), and multiply by 100. A high percentage of government expenditure on education spent on a given level denotes a high priority given to that level compared to others. When interpreting this indicator, one should take into account enrolment at that level, and the relative costs per student between different levels of education. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,,,
UIS.XGDP.23.FSGOV,Government expenditure on secondary education as % of GDP (%),"Total general (local, regional and central) government expenditure on secondary education (current, capital, and transfers), expressed as a percentage of GDP. It includes expenditure funded by transfers from international sources to government. Divide total government expenditure for a given level of education (ex. primary, secondary, or all levels combined) by the GDP, and multiply by 100. A higher percentage of GDP spent on education shows a higher government priority for education, but also a higher capacity of the government to raise revenues for public spending, in relation to the size of the country's economy. When interpreting this indicator however, one should keep in mind in some countries, the private sector and/or households may fund a higher proportion of total funding for education, thus making government expenditure appear lower than in other countries. Limitations: In some instances data on total public expenditure on education refers only to the Ministry of Education, excluding other ministries which may also spend a part of their budget on educational activities. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Total general (local, regional and central) government expenditure on secondary education (current, capital, and transfers), expressed as a percentage of GDP. It includes expenditure funded by transfers from international sources to government. Divide total government expenditure for a given level of education (ex. primary, secondary, or all levels combined) by the GDP, and multiply by 100. A higher percentage of GDP spent on education shows a higher government priority for education, but also a higher capacity of the government to raise revenues for public spending, in relation to the size of the country's economy. When interpreting this indicator however, one should keep in mind in some countries, the private sector and/or households may fund a higher proportion of total funding for education, thus making government expenditure appear lower than in other countries. Limitations: In some instances data on total public expenditure on education refers only to the Ministry of Education, excluding other ministries which may also spend a part of their budget on educational activities. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Education Expenditures,,,,,,,,,
SE.XPD.SECO.PC.ZS,Government expenditure per secondary student as % of GDP per capita (%),"Average total (current, capital and transfers) general government expenditure per student in the given level of education, expressed as a percentage of GDP per capita. Divide total government expenditure for a given level of education (ex. primary, secondary) by total enrolment in that same level, divide again by GDP per capita, and multiply by 100. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Average total (current, capital and transfers) general government expenditure per student in the given level of education, expressed as a percentage of GDP per capita. Divide total government expenditure for a given level of education (ex. primary, secondary) by total enrolment in that same level, divide again by GDP per capita, and multiply by 100. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Expenditures,Secondary,,,,,,,,
UIS.XUNIT.US.23.FSGOV,Government expenditure per secondary student (US$),,"Average total (current, capital and transfers) general government expenditure per student in the given level of education, expressed in nominal US$ at market exchange rates. Divide total government expenditure (in US$) for a given level of education (ex. primary, secondary) by total enrolment in that same level. This indicator is useful to compare average spending on one student between levels of education, over time, or between countries. Constant US$ allow comparing absolute values using a common currency, however nominal values do not take into account the effect of inflation. This indicator should not be considered a unit cost, since it only includes what the government spends, and not total spending per student (including household contributions). Since it is a simple division of total government expenditure by the number of students at a given level, whether they attend public or private institutions, in countries where private provision and/or funding of education is higher the average amount per student will appear lower. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Expenditures,,,,,,,,,
UIS.XUNIT.US.56.FSGOV,Government expenditure per tertiary student (US$),,"Average total (current, capital and transfers) general government expenditure per student in the given level of education, expressed in nominal US$ at market exchange rates. Divide total government expenditure (in US$) for a given level of education (ex. primary, secondary) by total enrolment in that same level. This indicator is useful to compare average spending on one student between levels of education, over time, or between countries. Constant US$ allow comparing absolute values using a common currency, however nominal values do not take into account the effect of inflation. This indicator should not be considered a unit cost, since it only includes what the government spends, and not total spending per student (including household contributions). Since it is a simple division of total government expenditure by the number of students at a given level, whether they attend public or private institutions, in countries where private provision and/or funding of education is higher the average amount per student will appear lower. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Expenditures,,,,,,,,,
