"variable","mean","wmean","sd","min","max","n"
"Literacy Skills",256.385471355281,260.88456703618,55.4030599118398,16.757752,449.496588,126621
"ALE Participation",0.405250848978023,0.463640944541519,0.490942490319068,0,1,124856
"female",0.535220513793976,0.497175130604409,0.498759945223833,0,1,126432
"Foreign-Born",0.131023302938197,0.247862521735582,0.337427206786033,0,1,123375
"Has Children",0.672234463477622,0.637242684262997,0.469400713379096,0,1,126621
"Non-Native Speaker",0.105483282674772,0.187723119941677,0.307176373687716,0,1,123375
"Primary Education",0.125970254900541,0.142099435395013,0.331817171644901,0,1,124323
"Secondary Education",0.437706619048768,0.403024161000614,0.496106353903881,0,1,124323
"Tertiary Education",0.436323126050691,0.454876403604373,0.495930674607194,0,1,124323
"Listwise Missing Cases",1,1,0,1,1,3805
"aweight",24.4993021376205,493.239454935322,107.162947526048,1,3988.08159950784,126621
