"group","cycle","mean","se","group_label"
"g1","Cycle 1 (2012)",261.1,0.14,"ALL"
"g1","Cycle 2 (2022)",260.3,0.49,"ALL"
"g2","Cycle 1 (2012)",262.1,0.2,"male"
"g2","Cycle 2 (2022)",259.4,0.69,"male"
"g3","Cycle 1 (2012)",260.2,0.17,"female"
"g3","Cycle 2 (2022)",261.1,0.61,"female"
"g4","Cycle 1 (2012)",263.8,0.23,"male_not"
"g4","Cycle 2 (2022)",266.7,0.68,"male_not"
"g5","Cycle 1 (2012)",243.9,0.84,"male_fb"
"g5","Cycle 2 (2022)",228.5,2.8,"male_fb"
"g6","Cycle 1 (2012)",261.9,0.15,"female_not"
"g6","Cycle 2 (2022)",268.5,0.58,"female_not"
"g7","Cycle 1 (2012)",243.2,0.76,"female_fb"
"g7","Cycle 2 (2022)",229.7,2.61,"female_fb"
"g8","Cycle 1 (2012)",263.4,0.17,"male_not_natlang"
"g8","Cycle 2 (2022)",267,0.7,"male_not_natlang"
"g9","Cycle 1 (2012)",245.9,1.36,"male_not_notnatlang"
"g9","Cycle 2 (2022)",252.9,5.12,"male_not_notnatlang"
"g10","Cycle 1 (2012)",260.8,0.74,"male_fb_natlang"
"g10","Cycle 2 (2022)",246.4,3.79,"male_fb_natlang"
"g11","Cycle 1 (2012)",233,1.06,"male_fb_notnatlang"
"g11","Cycle 2 (2022)",218.5,3.77,"male_fb_notnatlang"
"g12","Cycle 1 (2012)",261.1,0.18,"female_not_natlang"
"g12","Cycle 2 (2022)",269,0.6,"female_not_natlang"
"g13","Cycle 1 (2012)",231.2,1.05,"female_not_notnatlang"
"g13","Cycle 2 (2022)",252.1,5.36,"female_not_notnatlang"
"g14","Cycle 1 (2012)",255.9,0.51,"female_fb_natlang"
"g14","Cycle 2 (2022)",245.2,3.7,"female_fb_natlang"
"g15","Cycle 1 (2012)",234.5,1.03,"female_fb_notnatlang"
"g15","Cycle 2 (2022)",221,3.24,"female_fb_notnatlang"
"g16","Cycle 1 (2012)",258.3,0.19,"male_not_natlang_child"
"g16","Cycle 2 (2022)",262.8,0.93,"male_not_natlang_child"
"g17","Cycle 1 (2012)",233.2,1.72,"male_not_notnatlang_child"
"g17","Cycle 2 (2022)",245.9,6.87,"male_not_notnatlang_child"
"g18","Cycle 1 (2012)",258.1,0.93,"male_fb_natlang_child"
"g18","Cycle 2 (2022)",240.5,4.59,"male_fb_natlang_child"
"g19","Cycle 1 (2012)",226.8,1.44,"male_fb_notnatlang_child"
"g19","Cycle 2 (2022)",206.9,4.19,"male_fb_notnatlang_child"
"g20","Cycle 1 (2012)",270.5,0.29,"male_not_natlang_nochild"
"g20","Cycle 2 (2022)",271.8,1.01,"male_not_natlang_nochild"
"g21","Cycle 1 (2012)",259.2,1.61,"male_not_notnatlang_nochild"
"g21","Cycle 2 (2022)",257.9,8.03,"male_not_notnatlang_nochild"
"g22","Cycle 1 (2012)",265.9,1.06,"male_fb_natlang_nochild"
"g22","Cycle 2 (2022)",255,5.86,"male_fb_natlang_nochild"
"g23","Cycle 1 (2012)",245.6,1.01,"male_fb_notnatlang_nochild"
"g23","Cycle 2 (2022)",236.6,5.4,"male_fb_notnatlang_nochild"
"g24","Cycle 1 (2012)",255.4,0.19,"female_not_natlang_child"
"g24","Cycle 2 (2022)",263.1,0.76,"female_not_natlang_child"
"g25","Cycle 1 (2012)",220.6,1.24,"female_not_notnatlang_child"
"g25","Cycle 2 (2022)",242.6,7.1,"female_not_notnatlang_child"
"g26","Cycle 1 (2012)",249.9,0.8,"female_fb_natlang_child"
"g26","Cycle 2 (2022)",239.4,4.63,"female_fb_natlang_child"
"g27","Cycle 1 (2012)",227.8,1.23,"female_fb_notnatlang_child"
"g27","Cycle 2 (2022)",214.5,3.81,"female_fb_notnatlang_child"
"g28","Cycle 1 (2012)",273.5,0.37,"female_not_natlang_nochild"
"g28","Cycle 2 (2022)",279.1,0.94,"female_not_natlang_nochild"
"g29","Cycle 1 (2012)",254.2,1.39,"female_not_notnatlang_nochild"
"g29","Cycle 2 (2022)",262.8,6.45,"female_not_notnatlang_nochild"
"g30","Cycle 1 (2012)",270,1.45,"female_fb_natlang_nochild"
"g30","Cycle 2 (2022)",259.8,4.95,"female_fb_natlang_nochild"
"g31","Cycle 1 (2012)",255.8,1.56,"female_fb_notnatlang_nochild"
"g31","Cycle 2 (2022)",238.9,5.04,"female_fb_notnatlang_nochild"
